epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.58239E+12,2020-02-22T10.27.18.500,0,-0.623,0.77,-0.1,,,
1.58239E+12,2020-02-22T10.27.18.511,0.011,-0.626,0.775,-0.098,-9.863,-2.645,22.992
1.58239E+12,2020-02-22T10.27.18.521,0.021,-0.622,0.787,-0.089,-9.97,-2.572,23.213
1.58239E+12,2020-02-22T10.27.18.531,0.031,-0.615,0.783,-0.079,-9.63,-2.241,22.069
1.58239E+12,2020-02-22T10.27.18.541,0.041,-0.61,0.785,-0.076,-8.457,-2.271,21.056
1.58239E+12,2020-02-22T10.27.18.552,0.052,-0.601,0.79,-0.065,-7.168,-2.671,20.229
1.58239E+12,2020-02-22T10.27.18.562,0.062,-0.597,0.79,-0.057,-6.841,-2.302,19.165
1.58239E+12,2020-02-22T10.27.18.572,0.072,-0.595,0.8,-0.052,-6.498,-1.963,18.041
1.58239E+12,2020-02-22T10.27.18.582,0.082,-0.595,0.81,-0.054,-6.471,-1.353,16.772
1.58239E+12,2020-02-22T10.27.18.593,0.093,-0.593,0.82,-0.046,-5.774,-1.22,15.957
1.58239E+12,2020-02-22T10.27.18.603,0.103,-0.593,0.828,-0.043,-7.889,1.242,14.303
1.58239E+12,2020-02-22T10.27.18.613,0.113,-0.591,0.828,-0.038,-10.716,4.143,12.088
1.58239E+12,2020-02-22T10.27.18.623,0.123,-0.591,0.825,-0.037,-12.306,6.082,10.29
1.58239E+12,2020-02-22T10.27.18.634,0.134,-0.587,0.825,-0.039,-14.287,7.664,8.807
1.58239E+12,2020-02-22T10.27.18.642,0.142,-0.588,0.811,-0.069,-17.664,10.777,7.309
1.58239E+12,2020-02-22T10.27.18.653,0.153,-0.585,0.806,-0.099,-20.183,14.154,5.518
1.58239E+12,2020-02-22T10.27.18.663,0.163,-0.6,0.801,-0.104,-19.817,15.854,3.91
1.58239E+12,2020-02-22T10.27.18.673,0.173,-0.622,0.798,-0.097,-16.986,15.008,2.797
1.58239E+12,2020-02-22T10.27.18.684,0.184,-0.64,0.786,-0.105,-11.643,12.317,1.62
1.58239E+12,2020-02-22T10.27.18.694,0.194,-0.636,0.781,-0.097,-5.202,8.72,0.915
1.58239E+12,2020-02-22T10.27.18.704,0.204,-0.623,0.788,-0.093,-0.553,6.242,0.686
1.58239E+12,2020-02-22T10.27.18.714,0.214,-0.615,0.798,-0.086,1.46,5.099,0.107
