epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.58239E+12,2020-02-22T10.37.05.282,0.011,-0.814,0.381,-0.017,61.223,45.305,31.673
1.58239E+12,2020-02-22T10.37.05.292,0.021,-0.788,0.438,-0.05,60.335,46.505,32.428
1.58239E+12,2020-02-22T10.37.05.302,0.031,-0.769,0.498,-0.146,54.996,52.702,34.127
1.58239E+12,2020-02-22T10.37.05.312,0.041,-0.743,0.541,-0.25,51.414,60.358,36.113
1.58239E+12,2020-02-22T10.37.05.323,0.052,-0.735,0.548,-0.292,46.951,67.881,38.194
1.58239E+12,2020-02-22T10.37.05.333,0.062,-0.749,0.528,-0.317,48.216,71.623,40.701
1.58239E+12,2020-02-22T10.37.05.343,0.072,-0.698,0.537,-0.315,58.045,69.596,44.158
1.58239E+12,2020-02-22T10.37.05.353,0.082,-0.671,0.545,-0.302,67.13,69.607,47.759
1.58239E+12,2020-02-22T10.37.05.362,0.091,-0.738,0.545,-0.282,70.675,72.252,51.166
1.58239E+12,2020-02-22T10.37.05.373,0.102,-0.79,0.565,-0.239,73.296,76.178,54.996
1.58239E+12,2020-02-22T10.37.05.383,0.112,-0.815,0.619,-0.222,72.298,79.325,59.79
1.58239E+12,2020-02-22T10.37.05.393,0.122,-1.014,0.817,-0.194,72.409,77.336,66.307
1.58239E+12,2020-02-22T10.37.05.403,0.132,-1.414,1.254,-0.063,84.928,61.357,70.282
1.58239E+12,2020-02-22T10.37.05.414,0.143,-1.336,1.299,0.001,82.504,63.155,74.257
1.58239E+12,2020-02-22T10.37.05.424,0.153,-1.253,1.157,-0.022,73.857,73.377,78.731
1.58239E+12,2020-02-22T10.37.05.434,0.163,-1.363,1.134,-0.05,84.082,59.851,82.809
1.58239E+12,2020-02-22T10.37.05.444,0.173,-1.304,1.067,-0.236,100.728,38.639,94.264
1.58239E+12,2020-02-22T10.37.05.455,0.184,-1.229,0.983,-0.439,119.527,19.558,103.914
1.58239E+12,2020-02-22T10.37.05.465,0.194,-1.24,0.983,-0.458,124.874,4.973,111.433
1.58239E+12,2020-02-22T10.37.05.475,0.204,-1.391,0.931,-0.357,124.863,-3.106,111.86
1.58239E+12,2020-02-22T10.37.05.485,0.214,-1.403,0.881,-0.224,124.729,-25.675,108.438
1.58239E+12,2020-02-22T10.37.05.494,0.223,-1.165,0.861,-0.106,124.874,-48.22,109.703
1.58239E+12,2020-02-22T10.37.05.504,0.233,-1.127,0.753,-0.035,124.874,-44.238,102.279
1.58239E+12,2020-02-22T10.37.05.515,0.244,-1.249,0.719,0.1,124.874,-43.91,93.026
1.58239E+12,2020-02-22T10.37.05.525,0.254,-1.267,0.693,0.203,124.874,-55.011,87.21
1.58239E+12,2020-02-22T10.37.05.535,0.264,-1.223,0.609,0.293,124.874,-70.522,85.419
1.58239E+12,2020-02-22T10.37.05.545,0.274,-1.16,0.498,0.344,124.874,-97.149,81.109
1.58239E+12,2020-02-22T10.37.05.556,0.285,-0.906,0.375,0.458,123.75,-118.99,77.42
1.58239E+12,2020-02-22T10.37.05.566,0.295,-0.682,0.261,0.416,105.476,-124.874,66.562
1.58239E+12,2020-02-22T10.37.05.576,0.305,-0.571,0.21,0.251,65.191,-124.874,56.315
1.58239E+12,2020-02-22T10.37.05.586,0.315,-0.659,0.417,0.329,33.769,-124.722,44.459
1.58239E+12,2020-02-22T10.37.05.597,0.326,-0.855,0.623,0.423,-2.984,-124.325,35.644
1.58239E+12,2020-02-22T10.37.05.607,0.336,-1.037,0.689,0.352,-59.989,-106.482,23.83
1.58239E+12,2020-02-22T10.37.05.617,0.346,-1.039,0.573,0.167,-112.908,-77.409,3.525
1.58239E+12,2020-02-22T10.37.05.626,0.355,-0.884,0.36,0.02,-124.874,-71.193,-19.76
1.58239E+12,2020-02-22T10.37.05.636,0.365,-0.755,0.26,-0.11,-124.848,-78.632,-40.194
1.58239E+12,2020-02-22T10.37.05.646,0.375,-0.733,0.298,-0.203,-124.543,-88.472,-55.625
1.58239E+12,2020-02-22T10.37.05.657,0.386,-0.759,0.388,-0.259,-124.874,-92.961,-67.325
1.58239E+12,2020-02-22T10.37.05.667,0.396,-0.733,0.509,-0.326,-124.874,-84.752,-80.168
1.58239E+12,2020-02-22T10.37.05.677,0.406,-0.705,0.534,-0.4,-124.87,-66.978,-93.841
