timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),"Round trip in front of Cribb's Home no effort, then round trip with outward effort"
2020-07-22T23.28.06.361,0,-0.368,0.88,0.359,-1.467,0.076,-0.488,
2020-07-22T23.28.06.371,0.01,-0.369,0.887,0.361,-1.254,0.24,-0.575,
2020-07-22T23.28.06.381,0.02,-0.371,0.885,0.363,-1.456,0.244,-0.564,
2020-07-22T23.28.06.391,0.03,-0.371,0.883,0.363,-1.284,0.297,-0.64,
2020-07-22T23.28.06.402,0.041,-0.37,0.884,0.363,-1.075,0.244,-0.553,
2020-07-22T23.28.06.412,0.051,-0.369,0.885,0.366,-1.01,0.301,-0.587,
2020-07-22T23.28.06.422,0.061,-0.368,0.883,0.365,-0.968,0.29,-0.625,
2020-07-22T23.28.06.431,0.07,-0.369,0.882,0.363,-0.854,0.328,-0.663,
2020-07-22T23.28.06.441,0.08,-0.369,0.881,0.361,-0.861,0.377,-0.713,
2020-07-22T23.28.06.451,0.09,-0.371,0.881,0.361,-0.713,0.37,-0.777,
2020-07-22T23.28.06.462,0.101,-0.369,0.883,0.364,-0.659,0.332,-0.682,
2020-07-22T23.28.06.472,0.111,-0.366,0.883,0.363,-0.777,0.373,-0.755,
2020-07-22T23.28.06.482,0.121,-0.366,0.885,0.362,-0.72,0.354,-0.758,
2020-07-22T23.28.06.492,0.131,-0.371,0.885,0.361,-0.728,0.373,-0.758,
2020-07-22T23.28.06.503,0.142,-0.373,0.884,0.36,-0.72,0.457,-0.846,
2020-07-22T23.28.06.513,0.152,-0.373,0.883,0.363,-0.709,0.415,-0.777,
2020-07-22T23.28.06.523,0.162,-0.372,0.882,0.365,-0.541,0.297,-0.633,
2020-07-22T23.28.06.533,0.172,-0.37,0.884,0.366,-0.796,0.404,-0.572,
2020-07-22T23.28.06.544,0.183,-0.368,0.882,0.364,-0.77,0.549,-0.694,
2020-07-22T23.28.06.554,0.193,-0.369,0.88,0.362,-0.724,0.507,-0.716,
2020-07-22T23.28.06.564,0.203,-0.369,0.885,0.362,-0.846,0.415,-0.736,
2020-07-22T23.28.06.573,0.212,-0.371,0.885,0.363,-0.724,0.396,-0.755,
2020-07-22T23.28.06.583,0.222,-0.372,0.887,0.362,-0.644,0.434,-0.728,
2020-07-22T23.28.06.593,0.232,-0.377,0.883,0.36,-0.747,0.301,-0.716,
2020-07-22T23.28.06.604,0.243,-0.362,0.877,0.367,-0.899,0.309,-0.686,
2020-07-22T23.28.06.614,0.253,-0.37,0.885,0.358,-1.094,0.168,-0.579,
2020-07-22T23.28.06.624,0.263,-0.367,0.886,0.365,-1.105,0.419,-0.709,
2020-07-22T23.28.06.634,0.273,-0.37,0.886,0.362,-1.151,0.45,-0.736,
2020-07-22T23.28.06.645,0.284,-0.378,0.883,0.365,-1.151,0.469,-0.575,
2020-07-22T23.28.06.655,0.294,-0.377,0.88,0.365,-1.212,0.381,-0.564,
2020-07-22T23.28.06.665,0.304,-0.374,0.881,0.366,-1.17,0.206,-0.514,
2020-07-22T23.28.06.675,0.314,-0.372,0.88,0.368,-0.861,0.145,-0.572,
2020-07-22T23.28.06.686,0.325,-0.367,0.883,0.364,-0.888,0.114,-0.659,
2020-07-22T23.28.06.696,0.335,-0.365,0.885,0.363,-0.957,0.4,-0.671,
2020-07-22T23.28.06.705,0.344,-0.368,0.883,0.365,-0.972,0.575,-0.648,
2020-07-22T23.28.06.715,0.354,-0.373,0.881,0.365,-0.911,0.553,-0.697,
2020-07-22T23.28.06.725,0.364,-0.375,0.881,0.364,-0.774,0.526,-0.655,
2020-07-22T23.28.06.736,0.375,-0.376,0.883,0.366,-0.602,0.484,-0.72,
2020-07-22T23.28.06.746,0.385,-0.375,0.881,0.366,-0.568,0.427,-0.762,
2020-07-22T23.28.06.756,0.395,-0.373,0.879,0.366,-0.598,0.484,-0.705,
2020-07-22T23.28.06.766,0.405,-0.371,0.883,0.367,-0.659,0.553,-0.724,
2020-07-22T23.28.06.777,0.416,-0.372,0.882,0.364,-0.507,0.575,-0.724,
2020-07-22T23.28.06.787,0.426,-0.372,0.884,0.363,-0.629,0.602,-0.701,
2020-07-22T23.28.06.797,0.436,-0.373,0.882,0.364,-0.644,0.598,-0.774,
2020-07-22T23.28.06.807,0.446,-0.374,0.882,0.366,-0.545,0.587,-0.812,
2020-07-22T23.28.06.818,0.457,-0.372,0.883,0.363,-0.526,0.652,-0.781,
2020-07-22T23.28.06.828,0.467,-0.373,0.881,0.365,-0.568,0.621,-0.774,
2020-07-22T23.28.06.837,0.476,-0.373,0.882,0.362,-0.575,0.484,-0.694,
2020-07-22T23.28.06.847,0.486,-0.373,0.883,0.357,-0.636,0.454,-0.72,
2020-07-22T23.28.06.857,0.496,-0.374,0.884,0.359,-0.724,0.495,-0.69,
2020-07-22T23.28.06.867,0.506,-0.375,0.883,0.361,-0.865,0.412,-0.625,
2020-07-22T23.28.06.878,0.517,-0.373,0.881,0.359,-0.918,0.286,-0.587,
2020-07-22T23.28.06.888,0.527,-0.373,0.882,0.361,-1.17,0.286,-0.564,
2020-07-22T23.28.06.898,0.537,-0.372,0.882,0.362,-1.261,0.259,-0.522,
2020-07-22T23.28.06.908,0.547,-0.373,0.878,0.364,-1.269,0.29,-0.553,
2020-07-22T23.28.06.919,0.558,-0.374,0.88,0.366,-1.254,0.206,-0.575,
2020-07-22T23.28.06.929,0.568,-0.374,0.883,0.363,-1.277,0.164,-0.469,
2020-07-22T23.28.06.939,0.578,-0.37,0.884,0.362,-1.418,0.282,-0.45,
2020-07-22T23.28.06.949,0.588,-0.373,0.881,0.366,-1.513,0.255,-0.454,
2020-07-22T23.28.06.960,0.599,-0.373,0.882,0.366,-1.471,0.194,-0.454,
2020-07-22T23.28.06.968,0.607,-0.376,0.882,0.367,-1.307,0.137,-0.476,
2020-07-22T23.28.06.979,0.618,-0.377,0.88,0.366,-1.311,0.107,-0.377,
2020-07-22T23.28.06.989,0.628,-0.376,0.879,0.368,-1.235,0.137,-0.385,
2020-07-22T23.28.06.999,0.638,-0.378,0.88,0.368,-1.322,0.248,-0.305,
2020-07-22T23.28.07.009,0.648,-0.375,0.878,0.368,-1.132,0.191,-0.29,
2020-07-22T23.28.07.020,0.659,-0.373,0.878,0.37,-0.911,0.175,-0.324,
2020-07-22T23.28.07.030,0.669,-0.37,0.879,0.37,-0.911,0.198,-0.37,
2020-07-22T23.28.07.040,0.679,-0.372,0.878,0.369,-0.655,0.324,-0.366,
2020-07-22T23.28.07.050,0.689,-0.372,0.879,0.37,-0.648,0.221,-0.37,
2020-07-22T23.28.07.061,0.7,-0.372,0.88,0.371,-0.545,0.335,-0.434,
2020-07-22T23.28.07.071,0.71,-0.373,0.881,0.367,-0.503,0.454,-0.503,
2020-07-22T23.28.07.081,0.72,-0.372,0.881,0.369,-0.461,0.438,-0.492,
