epoch (ms),time (-13:00),elapsed (s),w (number),x (number),y (number), z (number)
1595137397790,2020-07-19T01:43:17.790,0.000,0.943,0.059,-0.327,0.000
1595137397800,2020-07-19T01:43:17.800,0.010,0.943,0.059,-0.327,0.000
1595137397810,2020-07-19T01:43:17.810,0.020,0.943,0.059,-0.327,0.000
1595137397820,2020-07-19T01:43:17.820,0.030,0.943,0.059,-0.327,0.001
1595137397830,2020-07-19T01:43:17.830,0.040,0.943,0.059,-0.327,0.001
1595137397840,2020-07-19T01:43:17.840,0.050,0.943,0.059,-0.327,0.001
1595137397850,2020-07-19T01:43:17.850,0.060,0.943,0.059,-0.327,0.001
1595137397860,2020-07-19T01:43:17.860,0.070,0.943,0.059,-0.327,0.001
1595137397870,2020-07-19T01:43:17.870,0.080,0.943,0.059,-0.327,0.001
1595137397880,2020-07-19T01:43:17.880,0.090,0.943,0.059,-0.327,0.001
1595137397890,2020-07-19T01:43:17.890,0.100,0.943,0.059,-0.327,0.001
1595137397900,2020-07-19T01:43:17.900,0.110,0.943,0.059,-0.327,0.001
1595137397910,2020-07-19T01:43:17.910,0.120,0.943,0.059,-0.327,0.002
1595137397920,2020-07-19T01:43:17.920,0.130,0.943,0.059,-0.327,0.002
1595137397930,2020-07-19T01:43:17.930,0.140,0.943,0.059,-0.327,0.002
1595137397940,2020-07-19T01:43:17.940,0.150,0.943,0.059,-0.327,0.002
1595137397950,2020-07-19T01:43:17.950,0.160,0.943,0.059,-0.327,0.002
1595137397960,2020-07-19T01:43:17.960,0.170,0.943,0.059,-0.327,0.002
1595137397970,2020-07-19T01:43:17.970,0.180,0.943,0.059,-0.327,0.003
1595137397980,2020-07-19T01:43:17.980,0.190,0.943,0.059,-0.327,0.003
1595137397990,2020-07-19T01:43:17.990,0.200,0.943,0.059,-0.328,0.003
1595137398000,2020-07-19T01:43:18.000,0.210,0.943,0.059,-0.328,0.003
1595137398010,2020-07-19T01:43:18.010,0.220,0.943,0.060,-0.328,0.003
1595137398020,2020-07-19T01:43:18.020,0.230,0.943,0.060,-0.328,0.003
1595137398030,2020-07-19T01:43:18.030,0.240,0.943,0.060,-0.329,0.003
1595137398040,2020-07-19T01:43:18.040,0.250,0.943,0.060,-0.329,0.003
1595137398050,2020-07-19T01:43:18.050,0.260,0.942,0.060,-0.329,0.003
1595137398060,2020-07-19T01:43:18.060,0.270,0.942,0.060,-0.329,0.003
1595137398070,2020-07-19T01:43:18.070,0.280,0.942,0.060,-0.329,0.003
1595137398080,2020-07-19T01:43:18.080,0.290,0.942,0.060,-0.329,0.003
1595137398090,2020-07-19T01:43:18.090,0.300,0.942,0.061,-0.329,0.003
1595137398100,2020-07-19T01:43:18.100,0.310,0.942,0.061,-0.329,0.003
1595137398110,2020-07-19T01:43:18.110,0.320,0.942,0.061,-0.329,0.003
1595137398120,2020-07-19T01:43:18.120,0.330,0.942,0.061,-0.329,0.003
1595137398130,2020-07-19T01:43:18.130,0.340,0.942,0.061,-0.329,0.003
1595137398140,2020-07-19T01:43:18.140,0.350,0.942,0.061,-0.329,0.003
1595137398150,2020-07-19T01:43:18.150,0.360,0.942,0.061,-0.329,0.003
1595137398160,2020-07-19T01:43:18.160,0.370,0.942,0.061,-0.329,0.003
1595137398170,2020-07-19T01:43:18.170,0.380,0.942,0.061,-0.329,0.003
1595137398180,2020-07-19T01:43:18.180,0.390,0.942,0.061,-0.329,0.003
1595137398190,2020-07-19T01:43:18.190,0.400,0.943,0.060,-0.328,0.003
1595137398200,2020-07-19T01:43:18.200,0.410,0.943,0.060,-0.328,0.003
1595137398210,2020-07-19T01:43:18.210,0.420,0.943,0.060,-0.328,0.003
1595137398220,2020-07-19T01:43:18.220,0.430,0.943,0.060,-0.328,0.003
1595137398230,2020-07-19T01:43:18.230,0.440,0.943,0.060,-0.328,0.003
1595137398240,2020-07-19T01:43:18.240,0.450,0.943,0.060,-0.328,0.003
1595137398250,2020-07-19T01:43:18.250,0.460,0.943,0.059,-0.327,0.003
1595137398260,2020-07-19T01:43:18.260,0.470,0.943,0.059,-0.327,0.003
1595137398270,2020-07-19T01:43:18.270,0.480,0.943,0.059,-0.327,0.003
1595137398280,2020-07-19T01:43:18.280,0.490,0.943,0.059,-0.327,0.004
1595137398290,2020-07-19T01:43:18.290,0.500,0.943,0.059,-0.327,0.004
1595137398300,2020-07-19T01:43:18.300,0.510,0.943,0.058,-0.326,0.004
1595137398310,2020-07-19T01:43:18.310,0.520,0.944,0.058,-0.326,0.004
1595137398320,2020-07-19T01:43:18.320,0.530,0.944,0.058,-0.326,0.004
1595137398330,2020-07-19T01:43:18.330,0.540,0.944,0.058,-0.326,0.005
1595137398340,2020-07-19T01:43:18.340,0.550,0.944,0.058,-0.326,0.005
1595137398350,2020-07-19T01:43:18.350,0.560,0.944,0.058,-0.326,0.005
1595137398360,2020-07-19T01:43:18.360,0.570,0.944,0.058,-0.326,0.005
1595137398370,2020-07-19T01:43:18.370,0.580,0.944,0.058,-0.326,0.005
1595137398380,2020-07-19T01:43:18.380,0.590,0.944,0.058,-0.326,0.005
1595137398390,2020-07-19T01:43:18.390,0.600,0.944,0.058,-0.326,0.005
1595137398400,2020-07-19T01:43:18.400,0.610,0.944,0.058,-0.326,0.005
1595137398410,2020-07-19T01:43:18.410,0.620,0.944,0.058,-0.326,0.005
1595137398420,2020-07-19T01:43:18.420,0.630,0.944,0.059,-0.326,0.006
1595137398430,2020-07-19T01:43:18.430,0.640,0.944,0.059,-0.326,0.006
